country,year,5-14 years,15-24 years,25-34 years,35-54 years,55-74 years,75+ years
Chile,2009,0.995,15.125,17.63,16.635,16.495,20.27
Chile,2010,1.08,14.15,15,16.22,13.46,21.53
Chile,2011,0.94,13.31,15.23,15.565,15.915,19.46
Chile,2012,0.59,10.675,14.35,14.6,13.26,20.73
Chile,2013,0.79,10.045,12.93,13.5,12.975,17.02
Chile,2014,0.835,10.55,12.67,13.75,13.19,17.69
Chile,2015,0.885,10.375,12.945,13.365,13.32,22.95
Colombia,1985,0.325,5.875,5.145,4.48,6.085,9.37
Colombia,1986,0.285,5.875,5.01,4.265,4.46,10.32
Colombia,1987,0.325,5.96,4.215,3.355,4.53,4.2
Colombia,1988,0.29,4.65,4.72,3.43,4.04,8.19
Colombia,1989,0.31,3.81,4.29,3.275,4.125,5.035
Colombia,1990,0.235,4.44,3.75,3.255,4.315,5.72
Colombia,1991,0.395,5.345,4.57,3.415,4.24,3.82
Colombia,1992,0.44,5.725,5.18,3.675,4.905,4.815
Colombia,1993,0.37,5.645,4.605,3.905,5.155,9.87
Colombia,1994,0.34,6.56,4.92,3.875,5.215,7.065
Colombia,1995,0.295,5.315,4.76,3.775,4.83,5.845
Colombia,1996,0.445,5.55,4.325,4,5.21,7.055
Colombia,1997,0.425,5.745,4.73,3.675,4.875,6.935
Colombia,1998,0.97,9.84,7.54,5.605,7.1,9.785
Colombia,1999,0.945,9.545,7.7,6.01,8.055,9.795
Colombia,2000,1.095,11.205,8.025,6.205,7.3,11.06
Colombia,2001,0.935,11.215,8.13,6.115,8.39,9.35
Colombia,2002,1.37,10.855,8.22,5.96,6.245,8.04
Colombia,2003,0.98,9.82,7.655,5.445,7.89,8.135
Colombia,2004,1.145,9.265,7.16,5.425,7.23,11.9
Colombia,2005,0.945,8.88,6.445,5.005,6.575,9.57
Colombia,2006,1.03,8.545,7.185,5.105,6.22,11.12
Colombia,2007,0.925,8.315,7.2,5.14,6.41,9.135
Colombia,2008,1.09,8.1,6.87,5.37,6.445,9.235
Colombia,2009,1.04,8.12,6.685,5.385,6.555,9.13
Colombia,2010,0.975,7.865,6.785,4.695,5.11,8.19
Colombia,2011,0.915,7.185,5.86,5.04,5.24,7.2
Colombia,2012,0.945,7.535,6.22,4.555,5.9,8.07
Colombia,2013,0.95,7.025,5.865,4.68,5.53,7.715
Colombia,2014,0.795,7.305,6.005,4.58,5.73,8.895
Colombia,2015,1.045,7.795,6.12,5.29,6.085,8.865
Costa Rica,1985,0.505,7.23,8.005,8.035,7.11,7.69
Costa Rica,1986,0.33,4.65,6.245,11.19,11.225,22.56
Costa Rica,1987,0.65,4.77,7.91,8.34,7.16,35.71
Costa Rica,1988,0,4.81,7.9,10.825,13.94,27.97
Costa Rica,1989,0.585,6.055,11.05,9.295,9.15,12.5
Costa Rica,1990,0.705,6.835,6.385,9.975,7.475,15.26
Costa Rica,1991,0.27,4.265,6.215,8.14,13.68,10.53
Costa Rica,1992,0.53,5.515,7.54,8.57,6.955,14.85
Costa Rica,1993,0,5.275,8.25,8.81,8.3,37.56
Costa Rica,1994,0.77,6.49,7.79,7.65,6.87,22.42
Costa Rica,1995,0.73,7.91,8.52,10.095,8.135,8.4
Costa Rica,1996,0.38,9.085,10.995,6.74,6.68,27.1
Costa Rica,1997,0.87,8.495,7.13,5.6,8.915,9.305
Costa Rica,1998,0.74,7.01,10.425,8.515,7.39,11.965
Costa Rica,1999,0.25,7.63,9.57,9.63,8.215,14.72
Costa Rica,2000,0.245,8.215,10.005,8.845,7.315,9.52
Costa Rica,2001,0.605,5.49,8.64,7.205,11.48,10.335
Costa Rica,2002,0.605,9.955,10.015,9.435,7.705,20.19
Costa Rica,2003,0.49,11.58,10.215,10.07,9.995,31.18
Costa Rica,2004,0.62,10.06,10.995,11.175,10.91,6.6
Costa Rica,2005,0.5,7.215,8.47,10.725,8.09,8.73
Costa Rica,2006,1.375,9.935,10.675,12.62,9.025,6.785
Costa Rica,2007,0.255,8.045,9.375,8.95,7.1,7.9
Costa Rica,2008,0.385,7.35,6.26,9.86,7.035,5.245
Costa Rica,2009,0.525,7.45,9.69,8.64,6.965,10.83
Costa Rica,2010,1.29,5.995,11.605,10.47,7.415,12.09
Costa Rica,2011,0.93,8.665,10.55,8.375,8.34,8.055
Costa Rica,2012,1.08,8.155,8.015,9.16,7.685,12.57
Costa Rica,2013,0.945,6.73,10.91,7.795,8.66,9.59
Costa Rica,2014,0.83,6.665,7.625,7.035,7.835,5.435
Croatia,1995,1.075,13.57,15.495,22.13,34.925,65.575
Croatia,1996,1.28,15.855,16.41,24.26,45.82,63.77
Croatia,1997,0.79,13.985,12.83,23.515,42.815,62.915
Croatia,1998,0.8,12.11,16.225,26.33,47.885,68.8
Croatia,1999,0.94,13.705,15.435,26.335,41.04,66.185
Croatia,2000,0.97,10.955,13.39,27.275,39.955,69.315
Croatia,2001,0.765,10.435,15.04,22.365,36.62,58.545
Croatia,2002,0,10.79,17.355,19.52,34.765,69.63
Croatia,2003,0.77,10.85,12.735,21.13,36.205,59.155
Croatia,2004,0.78,7.54,12.625,21.54,34.41,74.225
Croatia,2005,0.78,8.115,13.65,22.89,35.385,54.355
Croatia,2006,0.605,10.285,10.34,21.38,28.63,52.87
Croatia,2007,0.83,7.86,10.14,19.025,31.07,52.8
Croatia,2008,0.835,8.305,9.275,19.64,28.905,65.885
Croatia,2009,1.26,8.825,8.105,21.045,27.715,60.825
Croatia,2010,0.45,9.815,8.095,18.935,30.195,53.72
Croatia,2011,0.87,5.995,11.83,16.18,26.355,49.76
Croatia,2012,0.925,7.835,10.96,20.54,28.965,50.28
Croatia,2013,0.46,9.285,11.71,19.9,22.955,41.07
Croatia,2014,0.49,9.855,9.295,18.52,26.85,46.255
Croatia,2015,0.73,8.135,8.605,17.895,28.545,50.93
Croatia,2016,0,7.49,9.875,16.905,25.725,46.785
Cuba,1992,1.355,18.655,19.99,25.095,42.29,77.47
Cuba,1993,0.635,16.235,20.435,24.625,47.805,86.73
Cuba,1994,0.31,15.15,18.955,24.72,45.73,76.79
Cuba,1995,0.68,16.24,19.775,23.535,38.505,77.645
Cuba,1996,0.545,13.675,16.465,22.575,34.62,70.235
Cuba,1997,0.65,11.005,15.6,24.21,35.27,71.965
Cuba,1998,0.35,12.035,15.165,22.12,38.04,75.78
Cuba,1999,0.53,11.365,16.245,22.94,35.875,66.105
Cuba,2000,0.42,10.41,16.315,19.86,29.845,59.535
Cuba,2001,0.48,8.405,13.655,16.845,29.425,53.445
Cuba,2002,0.25,6.485,13.555,17.19,25.475,57.255
Cuba,2003,0.31,6.025,11.22,15.975,24.91,52.12
Cuba,2004,0.45,5.37,10.47,15.99,26.935,48.845
Cuba,2005,0.65,5.815,9.69,14.195,22.375,50.245
Cuba,2006,0.2,4.28,9.88,13.485,23.2,50.23
Cuba,2007,0.27,3.935,8.02,12.62,22.965,46.415
Cuba,2008,0.215,4.625,7.11,13.595,24.085,45.865
Cuba,2009,0.29,4.54,10.025,14.63,23.4,47.78
Cuba,2010,0.815,5.265,8.415,15.295,26.285,44.99
Cuba,2011,0.52,5.49,9.44,14.33,23.475,50.27
Cuba,2012,0.605,6.14,8.665,13.23,22.995,50.365
Cuba,2013,0.7,4.39,7.905,13.875,25.04,43.32
Cuba,2014,0.86,5.405,7.22,13.595,22.215,43.02
Cuba,2015,0.63,4.98,6.705,13.845,23.21,48.1
Cyprus,1999,0,0,0,0,1.57,0
Cyprus,2000,0,0,6.76,1.6,0,0
Cyprus,2004,0,0,1.85,2.005,3.31,0
Cyprus,2005,0,2.535,3.86,2.49,5.415,0
Cyprus,2006,0,1.63,4.585,2.4,6.02,0
Cyprus,2007,0,4.74,5.27,1.925,2.93,11.18
Cyprus,2008,0,4.63,8.39,9.905,3.5,10.85
Cyprus,2009,0,7.56,6.38,5.025,5.5,9.83
Cyprus,2010,0,5.305,10.75,5.875,5.26,15.25
Cyprus,2011,0,4.46,0,6.74,5.81,7.11
Cyprus,2012,0,9.09,7.04,6.73,6.27,0
Cyprus,2013,0,12.72,11.34,6.565,6.685,14.05
Cyprus,2014,0,4.175,8.6,6.44,7.1,4.47
Cyprus,2015,0,5.15,6.6,5.96,7.085,0
Cyprus,2016,0,8.61,2.165,8.29,4.65,8.33
Czech Republic,1990,0.375,8.595,16.2,25.335,33.675,72.93
Czech Republic,1991,0.975,9.385,16.06,24.775,31.01,63.8
Czech Republic,1992,1.21,8.785,16.485,27.015,32.205,66.51
Czech Republic,1993,1.66,10.36,15.16,25.475,29.05,67.945
Czech Republic,1994,0.935,10.42,16.01,23.535,28.505,67.235
Czech Republic,1995,0.815,11.29,14.805,22.25,23.995,59.045
Czech Republic,1996,0.675,9.56,13.35,20.33,21.54,56.285
Czech Republic,1997,0.455,9.125,13.695,22.98,24.955,45.855
Czech Republic,1998,0.62,9.32,13.46,22.31,21.88,45.76
Czech Republic,1999,0.46,10.25,13.555,20.695,21.975,51.76
Czech Republic,2000,0.97,10.35,12.835,22.345,22.075,44.745
Czech Republic,2001,0.495,9.81,12.565,23.095,20.115,44.38
Czech Republic,2002,0.51,7.915,12.895,21.48,19.195,44.08
Czech Republic,2003,0.8,9.565,14.02,24.28,20.555,48.22
Czech Republic,2004,0.735,8.81,12.63,22.37,20.415,36.55
Czech Republic,2005,0.57,7.32,13.805,21.945,20.885,32.175
Czech Republic,2006,0.58,8.22,9.945,19.475,18.385,32.885
Czech Republic,2007,0.4,8.39,11.14,17.945,18.33,29.385
Czech Republic,2008,0.415,8,10.98,18.005,16.905,33.2
Czech Republic,2009,0.32,7.15,12.395,18.84,18.395,32.755
Czech Republic,2010,0.21,8.645,11.4,18.785,20.825,28.05
Czech Republic,2011,0.41,11.07,12.38,19.42,21.335,28.71
Czech Republic,2012,0.41,7.75,12.705,20.695,22.305,34.25
Czech Republic,2013,0.695,10.54,12.92,19.21,20.21,29.46
Czech Republic,2014,0.195,8.445,12.26,17.89,19.14,29.715
Czech Republic,2015,0.67,7.13,11.67,15.42,18.455,32.09
Czech Republic,2016,0,9.58,11.85,14.88,16.39,28.18
Denmark,1994,0.35,7.005,13.195,26.18,31.085,48.97
Denmark,1995,0.34,7.775,15.335,20.685,30.255,45.345
Denmark,1996,0.33,7.79,12.505,22.98,25.91,45.43
Denmark,1997,0.98,9.27,12.24,17.865,24.925,44.44
Denmark,1998,0.64,6.605,12.16,20.28,19.895,35.08
Denmark,1999,0.93,7.405,13.8,18.53,22.59,28.755
Denmark,2000,0.3,7.775,9.62,18.77,19.45,34.77
Denmark,2001,0.59,7.43,8.525,17.805,19.66,39.37
Denmark,2002,0,7.645,9.8,15.725,18.905,36.18
Denmark,2003,0,5.02,8.95,15.95,17.09,31.34
Denmark,2004,0.585,7.355,10.715,16.15,16.995,29.09
Denmark,2005,0.85,4.635,8.67,13.915,17.49,36.98
Denmark,2006,0.29,5.355,9.425,14.02,19.41,32.54
Denmark,2007,0.57,3.325,10.235,13.83,15.145,27.16
Denmark,2008,0.445,5.81,8.355,14.435,15.775,26.705
Denmark,2009,0.44,4.145,7.305,14.545,17.805,28.11
Denmark,2010,0,3.935,7.435,13.09,15.99,24.56
Denmark,2011,0,5.265,7.215,15.155,15.605,19.925
Denmark,2012,0.29,5.705,6.45,16.995,17.59,24.72
Denmark,2013,0.3,4.845,7.51,14.565,16.255,23.8
Denmark,2014,0.3,5.175,7.52,15.16,15.765,24.945
Denmark,2015,0.93,3.245,6.64,13.45,14.64,22.27
Dominica,1985,0,0,0,0,0,0
Ecuador,1985,0.43,8.91,8.31,5.2,6.37,12.04
Ecuador,1986,0.455,8.625,7.595,4.49,5.835,11.27
Ecuador,1987,0.46,7.76,6.985,5.75,3.88,6.43
Ecuador,1988,0.34,8.63,8.215,6.345,7.12,6.995
Ecuador,1989,0.485,8.14,7.525,5.565,4.42,9.055
Ecuador,1990,0.445,8.67,8.34,4.95,4.575,3.26
Ecuador,1991,0.46,10.43,6.565,5.61,6.165,4.25
Ecuador,1992,0.785,9.5,7.885,4.695,5.75,9.285
Ecuador,1993,0.615,10.715,8.3,6.145,6.815,2.865
Ecuador,1994,0.905,8.295,7.675,5.735,4.775,6.45
Ecuador,1995,0.595,9.115,7.75,5.91,5.66,5.08
Ecuador,1996,0.88,9.845,8.485,4.98,7.07,6.91
Ecuador,1997,1.375,9.575,7.49,5.435,4.52,5.115
Ecuador,1998,0.925,9.4,7.33,4.75,3.42,5.21
Ecuador,1999,1.405,9.665,7.08,5.47,5.75,6.595
Ecuador,2000,0.975,8.325,6.4,4.98,3.865,4.04
Ecuador,2001,1.11,8.66,6.78,5.085,4.73,7.255
Ecuador,2002,1.345,8.805,5.765,5.12,4.33,5.345
Ecuador,2003,1.065,10.035,6.775,6.245,5.135,6.025
Ecuador,2004,2.03,11.17,8.075,5.845,7.005,8.07
Ecuador,2005,2.015,13.015,8.935,8,7.35,9.05
Ecuador,2006,1.91,11.48,9.19,7.1,7.545,9.31
Ecuador,2007,2.255,13.51,9.355,7.38,8.75,6.735
Ecuador,2008,1.53,11.375,9.555,6.715,7.895,10.575
Ecuador,2009,1.425,11.16,9.79,7.085,8.9,8.765
Ecuador,2010,1.455,11.5,9.79,6.2,5.94,5.86
Ecuador,2011,2.12,11.16,8.82,6.08,6.345,6.375
Ecuador,2012,2.17,12.36,8.95,6.085,6.425,6.45
Ecuador,2013,1.605,8.4,5.655,3.91,4.745,7.125
Ecuador,2014,1.495,8.195,6.14,4.865,5.325,6.99
Ecuador,2015,2.01,11.64,9.335,6.815,7.405,11.49
El Salvador,1990,0.595,23.17,23.13,11.99,10.465,22.88
El Salvador,1991,0.675,18.585,16.225,10.47,10.035,29.66
El Salvador,1992,0.875,14.765,15.49,10.3,9.515,9.365
El Salvador,1993,1.26,16.235,15.935,7.08,6.965,14.37
El Salvador,1995,1.5,26.23,21.48,11.75,5.395,13.24
El Salvador,1996,0.67,21.94,17.025,10.46,9.61,25.75
El Salvador,1997,1.195,21.62,16.54,13.505,10.47,6.67
El Salvador,1998,1.25,18.235,16.055,11.965,8.065,11.69
El Salvador,1999,1.38,19.075,13.875,12.505,7.325,9.82
El Salvador,2000,0.43,17.555,13.21,10.995,6.64,6.445
El Salvador,2001,0.93,18.695,14.32,11.405,8.965,10.54
El Salvador,2002,0.775,15.59,10.865,10.09,8.44,21.67
El Salvador,2003,0.91,17.395,16.665,11.61,9.62,8.26
El Salvador,2004,0.7,15.25,13.08,11.425,8.3,7.025
El Salvador,2005,1.115,15.065,13.095,9.19,8.945,10.455
El Salvador,2006,0.625,13.255,12.475,8.96,6.45,8.02
El Salvador,2007,0.99,13.065,16.465,11.23,10.505,11.315
El Salvador,2008,0.715,13.65,15.515,11.47,6.905,14.655
El Salvador,2009,0.66,12.63,17.755,11.33,9.4,10.285
El Salvador,2010,0.605,10.33,13.575,7.915,8.05,8.485
El Salvador,2011,1.835,13.68,15.075,9.025,6.96,11.155
El Salvador,2012,1.565,12.465,16.065,9.845,10.83,10.8
El Salvador,2013,1.04,9.605,13.8,12.395,10.57,21.24
El Salvador,2014,0.495,6.54,11.67,9.025,8.475,14.715
Estonia,1995,4.5,18,38.955,72.96,65.24,74.19
Estonia,1996,3.67,22.745,29.27,71.02,52.425,87.065
Estonia,1997,4.7,21.325,36.11,62.115,58.55,70.58
Estonia,1998,2.935,20.745,32.135,55.22,59.08,43.645
Estonia,1999,2.02,27.07,31.23,50.67,50.75,82.505
Estonia,2000,1.13,17.65,25.255,41.99,38.88,57.98
Estonia,2001,4.41,20.585,26.685,42.24,42.265,51.86
Estonia,2002,2.94,18.575,30.07,38.64,37.305,51.62
Estonia,2003,2.505,18.08,21.875,36.895,34.68,55.085
Estonia,2004,1.39,18.01,25.565,31.57,37.825,36.065
Estonia,2005,1.39,15.6,17.98,29.815,26.72,37.405
Estonia,2006,1.45,15.305,12.995,23.29,28.975,40.025
Estonia,2007,0,12.04,21.375,21.17,29.76,48.18
Estonia,2008,1.59,17.495,14.165,23.915,24.36,40.76
Estonia,2009,0,13.265,17.225,28.165,31.825,33.855
Estonia,2010,0,12.145,17.285,19.4,26.475,39.23
Estonia,2011,0,12.73,12.53,20.245,26.01,43.115
Estonia,2012,2.97,9.69,17.11,20.01,28.905,43.605
Estonia,2013,1.47,10.955,12.45,18.175,26.925,46.72
Estonia,2014,2.86,13.645,24.245,20.48,22.915,46.74
Estonia,2015,1.435,15.72,13.65,16.64,20.865,34.38
Fiji,2001,1.07,7.805,5.845,11.05,7.765,0
Fiji,2002,1.675,9.105,7.5,4.305,15.09,25.14
Fiji,2003,0,2.445,3.36,1.045,5.78,0
Fiji,2004,1.24,4.435,3.995,1.515,8.205,52.95
Fiji,2005,0,2.57,4.79,4.855,2.61,25.79
Fiji,2006,1.88,5.82,6.1,3.4,2.47,0
Fiji,2007,0,2.535,3.03,1.93,7.4,0
Fiji,2008,1.28,3.845,7.96,7.75,3.545,0
Fiji,2009,0,3.165,5.685,7.61,4.575,17.21
Fiji,2011,0,4.45,7.485,5.665,5.29,61.19
Fiji,2012,0,7.02,4.8,3.28,4.055,26.635
Finland,1987,1.23,22.765,33.7,39.815,39.325,37.455
Finland,1988,0.465,23.55,34.035,41.725,37.24,40.005
Finland,1989,0.9,28.435,31.23,39.82,38.42,48.325
Finland,1990,1.2,30.935,38.51,41.93,35.995,50.14
Finland,1991,0.9,24.75,38.42,42.285,37.76,45.125
Finland,1992,0.615,21.745,39.155,43.315,33.23,36.875
Finland,1993,0.615,18.115,34.65,43.025,33.265,36.83
Finland,1994,0.465,26.655,30.96,41.895,30.38,34.765
Finland,1995,1.21,22.495,32.58,40.545,33.955,32.3
Finland,1996,0.93,20.36,31.155,36.05,28.825,27.505
Finland,1997,0.465,23.065,31.165,38.535,29.43,32.515
Finland,1998,0.77,18.665,30.25,32.53,31.27,37.23
Finland,1999,0.31,21.08,29.96,32.815,29.11,28.28
Finland,2000,0.63,19.6,29.6,32.685,25.89,24.735
Finland,2001,0.77,17.28,27.095,35.115,28.25,25.085
Finland,2002,0.91,18.145,23.59,29.465,27.215,28.89
Finland,2003,1.085,18.53,20.99,31.32,23.33,26.47
Finland,2004,0.78,21.4,23.08,27.74,25.2,23.775
Finland,2005,0.65,15.35,20.275,26.93,23.805,28.575
Finland,2006,0.64,19.06,22.4,27.665,26.32,20.815
Finland,2007,0.97,18.045,18.865,26.125,24.21,23.81
Finland,2008,0.665,16.065,21.885,28.935,24.335,18.26
Finland,2009,0.34,17.57,23.425,27.275,23.07,22.735
Finland,2010,0.33,20.24,22.5,22.245,21.42,21.035
Finland,2011,0.67,17.375,18.81,22.92,20.605,21.76
Finland,2012,0,17.55,16.96,21.195,21.6,16.2
Finland,2013,0.34,14.945,23.145,18.87,21.655,19.46
Finland,2014,0.335,12.92,20.94,18.965,16.205,19.215
Finland,2015,1.64,10.77,17.32,17.52,15.805,18.36
France,1985,0.46,10.84,22.9,28.24,38.005,74.005
France,1986,0.515,10.285,22.135,29.35,38.21,75.39
France,1987,0.565,9.405,21.165,28.685,34.535,71.16
France,1988,0.38,9.06,20.735,27.305,31.725,67.155
France,1989,0.425,10.155,20.725,26.46,32.03,66.47
France,1990,0.26,9.235,19.865,26.21,30.06,65.735
France,1991,0.175,9.54,19.855,26.685,30.365,62.43
France,1992,0.295,9.145,20.67,27.3,29.545,63.78
France,1993,0.415,11.69,21.63,28.665,29.325,64.62
France,1994,0.285,10.21,21.31,28.5,29.715,59.955
France,1995,0.38,9.915,20.41,27.315,29.01,59.28
France,1996,0.26,8.54,19.445,26.93,26.77,53.665
France,1997,0.315,8.84,18,26.68,25.67,53.66
France,1998,0.25,8.425,16.68,25.01,25.235,51.225
France,1999,0.4,7.82,16.88,24.045,24.81,48.96
France,2000,0.57,7.88,16.5,25.99,25.515,52.16
France,2001,0.465,7.335,16.21,25.365,24.355,46.24
France,2002,0.5,7.515,16.425,25.705,24.655,44.52
France,2003,0.43,8.06,16.19,26.77,23.665,45.54
France,2004,0.27,7.82,15.03,27.265,23.195,42.675
France,2005,0.385,7.15,14.675,25.63,24.08,44.125
France,2006,0.395,6.545,14.41,25.06,23.09,40.815
France,2007,0.285,6.43,13.305,24.365,21.595,40.865
France,2008,0.335,6.71,13.555,24.135,22.75,40.62
France,2009,0.475,6.695,13.525,24.25,23.33,39.845
France,2010,0.515,6.42,12.775,24.445,22.355,39.075
France,2011,0.46,6.32,12.295,24.365,22.39,39.76
France,2012,0.42,6.005,11.235,22.29,20.59,38.95
France,2013,0.37,5.58,11.05,21.785,21.045,36.335
France,2014,0.325,4.91,10.905,19.57,18.805,35.265
Georgia,1990,0,3.19,3.17,5.18,6.485,14.19
Georgia,1991,0.23,1.89,2.83,4.115,7.535,10.04
Georgia,1992,0,3.215,4.085,4.59,8.255,10.095
Georgia,1994,0,2.235,2.065,2.585,6.435,5.33
Georgia,1995,0.26,2.435,2.87,3.685,6.53,4.72
Georgia,1996,0.27,1.805,3.705,4.315,7.37,12.52
Georgia,1997,0.55,3.385,3.555,4.44,8.555,10.115
Georgia,1998,0,3.135,3.275,4.105,6.645,7.49
Georgia,1999,0,2.3,6.455,4.18,9.43,11.925
Georgia,2000,0,2.31,2.64,3.565,7.175,8.785
Georgia,2001,0.3,2.33,2.01,2.52,5.32,6.43
Georgia,2004,1.13,2.44,5.535,5.6,5.05,13.515
Georgia,2005,0.65,1.125,3.225,2.72,2.715,4.07
Georgia,2006,0.355,1.095,2.54,1.64,2.955,3.17
Georgia,2007,0,1.09,2.37,3.06,4.23,7.545
Georgia,2009,0.78,3.345,4.005,4.68,6.89,12.83
Georgia,2010,0.39,3.13,4.74,2.835,5.21,4.99
Georgia,2011,0.44,1.87,1.47,2.56,3.69,8.345
Georgia,2012,0.45,2.095,2.89,2.41,3.56,6.26
Georgia,2013,0.625,2.32,3.02,3.98,5.45,12.39
Georgia,2014,0,3.265,2.78,5.855,11.995,13.35
Georgia,2015,0.43,3.865,4.415,5.565,6.855,21.425
Germany,1990,0.365,9.34,14.5,20.09,26.545,58.885
Germany,1991,0.37,9.025,14.165,20.895,25.9,58.7
Germany,1992,0.43,8.135,13.985,19.485,24.495,58.49
Germany,1993,0.665,7.915,12.865,18.045,23.62,54.64
Germany,1994,0.52,8.86,13.145,18.395,22.855,51.62
Germany,1995,0.56,8.605,12.545,18.845,22.635,53.6
Germany,1996,0.525,8.075,12.695,17.535,21.23,48.15
Germany,1997,0.39,8.085,12.415,17.97,21.06,45.56
Germany,1998,0.545,8.11,11.69,16.765,20.165,42.98
Germany,1999,0.385,7.865,11.025,15.825,19.245,40.275
Germany,2000,0.365,7.625,10.265,15.58,19.71,39.23
Germany,2001,0.54,7.585,10.41,15.81,18.94,39.605
Germany,2002,0.275,7.83,10.085,15.755,18.74,39.295
Germany,2003,0.265,7.155,10.225,15.725,18.57,38.68
Germany,2004,0.27,6.625,9.69,14.745,18.35,36.435
Germany,2005,0.315,6.085,8.97,14.25,17.56,33.565
Germany,2006,0.36,5.805,7.935,13.365,17.06,31.735
Germany,2007,0.3,5.77,8.17,12.61,16.165,30.245
Germany,2008,0.22,6.135,8.08,13,15.77,29.555
Germany,2009,0.275,5.985,8.01,13.375,16.175,28.94
Germany,2010,0.365,6.51,9.28,13.5,16.855,29.575
Germany,2011,0.28,6.33,8.765,13.34,17.495,30.2
Germany,2012,0.27,6.14,8.755,12.97,16.505,29.515
Germany,2013,0.25,5.675,9.205,13.47,17.145,30.795
Germany,2014,0.385,5.895,9.06,13.64,17.145,30.395
Germany,2015,0.265,5.78,8.66,13.005,16.725,30.735
Greece,1985,0,3.155,4.255,4.605,7.21,9.86
Greece,1986,0,3.68,4.54,3.585,6.455,12.345
Greece,1987,0.27,3.07,4.01,4.595,6.34,13.245
Greece,1988,0,2.695,4.555,4,6.82,11.99
Greece,1989,0.54,2.54,4.93,4.27,5.53,9.725
Greece,1990,0.41,3.085,4.005,3.655,4.62,10.175
Greece,1991,0.55,2.285,3.325,4.25,5.93,11.22
Greece,1992,0.28,1.565,3.31,3.865,5.685,9.9
Greece,1993,0.215,2.175,4.155,4.745,6.245,9.015
Greece,1994,0.29,2.2,3.415,3.485,5.66,8.515
Greece,1995,0,2.495,4.36,3.88,4.68,9.425
Greece,1996,0,1.64,4.325,3.645,5.13,7.825
Greece,1997,0.31,3.03,4.42,3.905,4.14,8.18
Greece,1998,0.17,1.64,4.6,3.95,6.355,7.505
Greece,1999,0,2.215,4.41,3.97,4.925,7.35
Greece,2000,0.33,2.55,4.115,4.16,4.585,6.855
Greece,2001,0.26,1.56,3.03,3.975,4.2,6.38
Greece,2002,0,1.95,2.575,3.08,4.76,6.81
Greece,2003,0.38,2.11,3.255,4.625,4.53,5.625
Greece,2004,0.36,1.66,3.375,3.71,4.355,7.18
Greece,2005,0.36,1.97,3.39,4.38,4.615,8.73
Greece,2006,0.19,1.86,3.39,4.355,4.29,8.715
Greece,2007,0.18,1.845,3.405,3.72,3.72,4.175
Greece,2008,0,2.34,3.47,4.555,3.61,7.345
Greece,2009,0,1.53,3.93,4.495,4.11,6.42
Greece,2010,0,1.575,3.52,4.215,4.07,6.57
Greece,2011,0,2.655,4.215,5.5,5.285,6.685
Greece,2012,0.19,2.59,3.915,6.11,6.125,7.825
Greece,2013,0.19,2.49,5.05,5.97,7.5,6.45
Greece,2014,0.18,3.08,3.86,6.565,7.55,8.765
Greece,2015,0,2.055,4.715,5.82,7.505,7.935
Grenada,1985,0,0,0,0,25.08,0
Grenada,1988,0,8.475,29.85,0,0,0
Grenada,1989,0,0,28.45,14.34,22.3,0
Grenada,1990,0,8.62,0,16.13,0,0
Grenada,1991,0,0,0,0,0,0
Grenada,1992,0,0,0,0,0,0
Grenada,1993,7.79,0,0,26.42,0,0
Grenada,1994,0,0,0,38.47,22.35,0
Grenada,1995,0,0,0,0,0,51.95
Grenada,1996,0,0,0,11.96,0,0
Grenada,2001,0,0,0,0,0,0
Grenada,2002,0,0,0,0,0,0
Grenada,2003,0,0,0,20.64,48.54,0
Grenada,2004,0,0,13.37,0,0,0
Grenada,2005,0,0,13.515,10.05,48.04,75.7
Grenada,2006,0,0,0,9.89,0,0
Grenada,2007,0,0,12.605,0,23.13,0
Grenada,2008,0,0,0,0,0,0
Grenada,2009,0,0,0,0,0,0
Grenada,2010,0,0,0,0,0,0
Grenada,2011,0,0,0,0,20.73,0
Grenada,2012,0,8.95,0,9.06,0,0
Grenada,2013,0,0,0,0,0,0
Grenada,2014,0,0,0,0,0,0
Grenada,2015,0,0,0,0,0,0
Grenada,2016,0,0,0,0,0,0
Guatemala,1986,0.165,5.095,5.12,3.515,6.82,8.23
Guatemala,1987,0.32,3.99,7.34,5.2,3.3,8.81
Guatemala,1988,0.195,3.225,4.215,4.035,1.86,20.18
Guatemala,1989,0.23,2.11,4.305,3.115,5.93,9.78
Guatemala,1990,0.15,2.425,4.555,3.525,1.6,9.56
Guatemala,1991,0.29,2.085,3.66,3.995,2.335,9.08
Guatemala,1992,0,2.86,2.53,4.925,2.44,6.37
Guatemala,1993,0.32,2.12,3.77,3.535,2.69,6.3
Guatemala,1994,0.205,2.595,2.785,2.41,1.905,6.1
Guatemala,1995,0.24,3.51,4.135,4.2,2.175,2.805
Guatemala,1996,0.1,1.935,3.725,2.83,2.72,7.43
Guatemala,1997,0.2,3.145,2.635,3.41,2.11,3.51
Guatemala,1998,0.29,3.405,3.255,3,2.21,6.37
Guatemala,1999,0.32,3.28,4.355,4.17,2.18,7.89
Guatemala,2000,0.25,2.86,3.655,1.6,3.095,4.5
Guatemala,2001,0.185,3.31,2.9,2.75,2.645,7.01
Guatemala,2002,0.235,3.48,3.86,3.485,4.395,4.81
Guatemala,2003,0.385,3.525,3.57,3.545,2.685,9.92
Guatemala,2004,0.405,3.795,3.525,2.83,2.65,3.52
